"","ID","places","lattitude","longitude"
"34","2014.c.1.3.lightning.3.8","Washington",38.8950368,-77.0365427
"35","2014.c.1.4.1","Iraq",33.0955793,44.1749775
"36","2014.c.1.4.1","Iran",32.6475314,54.5643516
"37","2014.c.1.4.1","North Korea",40.3736611,127.0870417
"38","2014.c.1.4.1","Germany",51.1638175,10.4478313
"39","2014.c.1.4.1","Italy",42.6384261,12.674297
"40","2014.c.1.4.1","Japan",36.5748441,139.2394179
"41","2014.c.1.4.4","China",35.0000663,104.999955
"42","2014.c.1.4.5","Germany",51.1638175,10.4478313
"43","2014.c.1.4.7","Toxophilus",NA,NA
"44","2014.c.1.4.7","Agincourt",48.7323472,6.236384
"45","2014.c.1.extra.1","Buffalo",42.8867166,-78.8783922
"46","2014.c.2.1.1","Bagram",34.9333734,69.2341077
"47","2014.c.2.1.1","Vajryana",NA,NA
"48","2014.c.2.1.1","Tibet",29.8556443,90.8749807
"49","2014.c.2.1.2","Maryland",39.5162401,-76.9382069
"50","2014.c.2.1.3","The Kingdom of God",51.54259515,-0.198289826233065
"51","2014.c.2.1.3","Russia",64.6863136,97.7453061
"52","2014.c.2.1.5","France",46.603354,1.8883335
"53","2014.c.2.1.7","the United Kingdom",52.45777545,-1.86920993821471
"54","2014.c.2.1.10","Ireland",52.865196,-7.9794599
"55","2014.c.2.2.3","Rome",41.8933203,12.4829321
"56","2014.c.2.2.7","Tara",43.0806647,19.3772932
"57","2014.c.2.2.7","Dublin",53.3493795,-6.2605593
"58","2014.c.2.2.8","France",46.603354,1.8883335
